sampleID,DOC,TDN,SampleType,ID,Date,Time,Notes,Station
EOS2_6-29-21_10:40,2.5,0.0806,synoptic,EOS2,6/29/21,10:40,10:40-10:55,NA
EOS2_6-29-21_11:30,3.44,0.1274,synoptic,EOS2,6/29/21,11:30,11:30-11:45,NA
EOS2_6-29-21_14:00,4.093,0.1337,synoptic,EOS2,6/29/21,14:00,14:00-14:00-14:15,NA
EOS2_6-30-21_9:50,7.943,0.2281,synoptic,EOS2,6/30/21,10:00,9:50-10:05,NA
EOS2_6-30-21_12:15,8.737,0.2291,synoptic,EOS2,6/30/21,12:15,12:15-12:30,NA
EOS1_7-5-21_12:55,3.866,0.1229,synoptic,EOS1,7/5/21,12:55,,NA
EOS1_7-5-21_14:25,3.018,0.07629,synoptic,EOS1,7/5/21,14:15,,NA
EOS2_7-5-21_13:25,3.226,0.125,synoptic,EOS2,7/5/21,13:15,,NA
EOS2_7-5-21_14:00,3.059,0.09726,synoptic,EOS2,7/5/21,14:00,,NA
EOS2_7-5-21_14:35,2.809,0.101,synoptic,EOS2,7/5/21,14:35,,NA
EOS1_7-6-21_13:10,3.958,0.09001,synoptic,EOS1,7/6/21,12:15,? On time - EDIT made some guesses - be extra causious here plz,NA
EOS2_7-6-21_10:35,2.405,0.1359,synoptic,EOS2,7/6/21,10:35,,NA
EOS2_7-6-21_12:10,3.413,0.1029,synoptic,EOS2,7/6/21,12:00,atenas pre second waterfall  - EDIT made some guesses - be extra causious here plz,NA
EOS1_7-7-21_10:10,1.507,0.0712,synoptic,EOS1,7/7/21,10:30,"time hard to read, maybe 10:40",NA
EOS1_7-7-21_11:35,1.642,0.07594,synoptic,EOS1,7/7/21,11:35,,NA
EOS1_7-7-21_14:10,1.569,0.08167,synoptic,EOS1,7/7/21,14:00,,NA
EOS2_7-7-21_10:25,1.719,0.0869,synoptic,EOS2,7/7/21,10:15,,NA
EOS2_7-7-21_14:12,1.505,0.06122,synoptic,EOS2,7/7/21,14:00,,NA
EOS1_7-9-21_12:00,2.824,0.1087,synoptic,EOS1,7/9/21,13:00,,NA
EOS2_7-9-21_13:15,2.753,0.1637,synoptic,EOS2,7/9/21,13:00,,NA
EOS1_6-18-21_11:15,2.393,0.1063,synoptic,EOS1,6/18/21,11:15,,Stn01
EOS1_6-18-21_13:38,2.791,0.1907,synoptic,EOS1,6/18/21,13:38,~175m,NA
EOS1_6-18-21_15:55,2.643,0.1286,synoptic,EOS1,6/18/21,15:55,station 4,Stn04
